Year, Students, Teachers, Students/Teachers
1, 7409, 349, 21
2, 7247, 299, 24
3, 7078, 250, 28
4, 6060, 202, 29
5, 5870, 212, 27
6, 5635, 217, 25
7, 5425, 202, 26
8, 5230, 182, 28
9, 5039, 182, 27
10, 4815, 170, 28
11, 4598, 172, 26
12, 4335, 178, 24
13, 4055, 185, 21
14, 3782, 207, 18
15, 3372, 216, 15
16, 3394, 237, 14
17, 3381, 255, 13
18, 3534, 270, 13
19, 3508, 285, 12
20, 3487, 312, 11
21, 3471, 305, 11
22, 3476, 301, 11
23, 3516, 279, 12
24, 3521, 280, 12
25, 3521, 287, 12
26, 3506, 278, 12
27, 3491, 277, 12
28, 3493, 272, 12
29, 3492, 265, 13
30, 3503, 259, 13
31, 3508, 249, 14
32, 3485, 238, 14
33, 3505, 229, 15
34, 3523, 221, 15
35, 3532, 222, 15
36, 3524, 211, 16
37, 3550, 198, 17
38, 3545, 193, 18
39, 3556, 193, 18
40, 3530, 189, 18
41, 3525, 180, 19
42, 3524, 174, 20
43, 3492, 165, 21
44, 3490, 154, 22
45, 3513, 153, 22
46, 3528, 158, 22
47, 3537, 148, 23
48, 3548, 150, 23
49, 3535, 154, 22
50, 3543, 157, 22
51, 3548, 149, 23
52, 3525, 156, 22
53, 3522, 155, 22
54, 3544, 145, 24
55, 3555, 150, 23
56, 3557, 152, 23
57, 3547, 148, 23
58, 3526, 144, 24
59, 3522, 138, 25
60, 3512, 145, 24
61, 3512, 152, 22
62, 3524, 153, 22
63, 3526, 154, 22
64, 3525, 158, 22
65, 3542, 162, 21
66, 3556, 160, 22
67, 3557, 160, 22
68, 3547, 154, 22
69, 3542, 144, 24
70, 3536, 141, 24
71, 3551, 135, 26
72, 3534, 140, 25
73, 3504, 132, 26
74, 3511, 124, 28
75, 3510, 117, 29
76, 3520, 115, 30
77, 3120, 104, 29
78, 3147, 109, 28
79, 3171, 113, 27
80, 3184, 112, 28
81, 3218, 112, 28
82, 3224, 120, 26
83, 3228, 126, 25
84, 3242, 127, 25
85, 3253, 135, 23
86, 3263, 135, 23
87, 3287, 139, 23
88, 3276, 132, 24
89, 3288, 137, 23
90, 3278, 137, 23
91, 3447, 140, 24
92, 3436, 136, 25
93, 3444, 132, 25
94, 3433, 118, 28
95, 3442, 123, 27
96, 3180, 106, 29
97, 3221, 109, 29
98, 3229, 103, 31
99, 3231, 98, 32
100, 2760, 92, 29
101, 2806, 90, 30
102, 2840, 93, 30
103, 2851, 91, 30
104, 2400, 80, 29
105, 2462, 86, 28
106, 2526, 89, 28
107, 2578, 89, 28
108, 2629, 88, 29
109, 2688, 87, 30
110, 2460, 82, 29
111, 2533, 87, 28
112, 2603, 87, 29
113, 2667, 83, 31
114, 2310, 77, 29
115, 1980, 66, 29
116, 2092, 71, 29
117, 2181, 76, 28
118, 2410, 77, 30
119, 1860, 62, 29
120, 1971, 63, 30
121, 2068, 64, 31
122, 1770, 59, 29
123, 1440, 48, 29
124, 1693, 54, 30
125, 1819, 54, 33
126, 1410, 47, 29
127, 1561, 52, 29
128, 1799, 57, 31
129, 1410, 47, 29
130, 1585, 49, 31
131, 1410, 47, 29
132, 1580, 47, 32
133, 1200, 40, 29
134, 1050, 35, 29
135, 1226, 43, 27
136, 1472, 43, 33
137, 1020, 34, 29
138, 1224, 31, 38
139, 930, 31, 29
140, 840, 28, 28
141, 690, 23, 28
142, 913, 22, 39
143, 690, 23, 28
144, 904, 25, 34
145, 540, 18, 28
146, 790, 19, 39
147, 600, 20, 28
148, 540, 18, 28
149, 420, 14, 28
150, 683, 13, 48
151, 240, 8, 26
152, 210, 7, 26
153, 150, 5, 25
154, 120, 4, 24
155, 417, 5, 69
156, 90, 3, 22
157, 60, 2, 20
158, 359, 2, 119
159, 639, 0, 639
160, 921, 0, 921
161, 1210, 0, 1210
162, 1496, 0, 1496
163, 1779, 0, 1779
164, 2063, 0, 2063
165, 2359, 0, 2359
166, 2647, 0, 2647
