Year Students Teachers 
1 861 98
2 889 98
3 908 97
4 906 102
5 912 101
6 897 106
7 868 113
8 859 122
9 810 128
10 815 139
11 723 153
12 686 166
13 635 175
14 587 188
15 583 202
16 600 215
17 543 231
18 577 239
19 600 244
20 565 252
21 591 258
22 587 262
23 560 267
24 552 274
25 593 280
26 544 290
27 576 291
28 587 294
29 534 307
30 558 307
31 560 313
32 574 325
33 498 324
34 509 329
35 505 327
36 506 327
37 502 322
38 460 313
39 442 310
40 433 299
41 384 280
42 388 265
43 359 244
44 384 229
45 373 220
46 343 208
47 352 190
48 353 194
49 371 188
50 340 188
51 363 184
52 398 181
53 370 182
54 386 176
55 390 171
56 388 167
57 403 169
58 405 157
59 390 147
60 381 142
61 395 144
62 430 146
63 424 149
64 418 152
65 428 154
66 420 152
67 444 157
68 447 159
69 446 156
70 464 161
71 431 164
72 452 170
73 450 172
74 442 175
75 449 177
76 464 180
77 404 190
78 405 197
79 406 200
80 423 205
81 438 200
82 446 205
83 463 203
84 484 207
85 485 204
86 480 212
87 443 216
88 439 221
89 449 223
90 450 211
91 424 223
92 442 224
93 453 229
94 455 235
95 419 238
96 444 242
97 440 242
98 436 241
99 429 241
100 404 240
101 420 236
102 396 233
103 440 220
104 424 206
105 439 200
106 400 200
107 424 193
108 434 191
109 420 188
110 404 185
111 426 184
112 402 178
113 413 178
114 405 165
115 401 161
116 397 152
117 412 146
118 383 149
119 388 148
120 380 148
121 372 149
122 365 158
123 375 155
124 410 156
125 419 152
126 382 148
127 409 139
128 401 138
129 405 137
130 430 141
131 447 149
132 408 150
133 433 149
134 428 146
135 411 142
136 428 139
137 435 145
138 422 145
139 439 150
140 453 147
141 479 151
142 484 152
143 511 153
144 462 148
145 458 152
146 466 151
147 483 145
148 471 144
149 470 144
150 496 142
151 493 142
152 467 150
153 498 152
154 499 150
155 476 154
156 472 154
157 481 154
158 421 156
159 432 158
160 457 166
161 449 163
162 465 166
163 451 162
164 445 150
165 397 143
166 411 136
167 419 141
168 429 141
169 430 144
170 447 148
171 443 148
172 449 152
173 427 153
174 435 154
175 428 163
176 438 165
177 428 174
178 470 175
179 447 178
180 442 178
181 423 180
182 408 181
183 445 190
184 456 191
185 457 199
186 451 201
187 411 212
188 454 214
189 474 213
190 483 218
191 501 221
192 485 223
193 414 223
194 418 230
195 419 231
196 443 226
197 393 231
198 388 223
199 387 211
200 380 210
201 362 208
202 352 200
203 350 192
204 348 188
205 348 183
206 388 183
207 393 177
208 402 173
209 359 175
210 362 172
211 391 163
212 412 162
213 421 152
214 407 149
215 398 145
216 425 144
217 400 134
218 398 140
219 416 144
220 429 148
221 432 144
222 413 145
223 403 152
224 411 154
225 438 164
226 459 163
227 476 168
228 483 170
229 470 174
230 473 174
231 467 174
232 466 173
233 455 178
234 462 185
235 471 191
236 466 198
237 436 197
238 428 197
239 426 195
240 429 187
241 412 175
242 391 170
243 388 171
244 384 167
245 397 166
246 381 178
247 381 176
248 412 174
249 414 166
250 427 164
251 416 169
252 423 167
253 431 158
254 437 155
255 438 149
256 414 149
257 413 140
258 419 135
259 411 135
260 402 142
261 394 135
262 395 139
263 422 135
264 421 125
265 400 124
266 415 127
267 385 126
268 399 130
269 401 127
270 402 131
271 445 132
272 419 128
273 432 133
274 451 143
275 469 145
276 473 153
277 487 155
278 482 155
279 487 156
280 479 156
281 449 159
282 424 171
283 422 176
284 477 179
285 455 183
286 470 179
287 490 180
288 471 185
289 448 190
290 442 194
291 455 195
292 451 190
293 471 193
294 444 192
295 439 198
296 434 205
297 447 210
298 445 199
299 442 197
300 391 191
301 375 192
302 385 192
303 388 192
304 395 186
305 387 182
306 398 179
307 423 176
308 423 180
309 426 175
310 429 171
311 427 171
312 414 170
313 411 161
314 414 155
315 430 161
316 435 161
317 451 163
318 407 160
319 409 161
320 408 163
321 419 160
322 441 156
323 441 143
324 443 141
325 436 146
326 429 145
327 429 137
328 405 134
329 385 130
330 416 122
331 434 123
332 396 124
333 414 123
334 429 126
335 451 131
336 460 140
337 442 138
338 441 143
339 441 150
340 439 152
341 430 153
342 457 149
343 462 156
344 483 152
345 480 152
346 495 155
347 444 170
348 441 173
349 456 179
350 460 176
351 467 175
352 469 178
353 457 187
354 456 186
355 476 185
356 492 183
357 490 189
358 454 198
359 450 206
360 452 213
361 450 218
362 448 225
363 458 227
364 436 231
365 447 237
366 459 241
367 460 244
368 465 247
369 467 237
370 461 237
371 461 236
372 432 232
373 432 239
374 440 234
375 406 225
376 408 219
377 408 218
378 413 218
379 425 205
380 428 202
381 424 197
382 433 189
383 437 188
384 435 186
385 418 176
386 381 150
387 393 152
388 393 146
389 371 144
390 391 145
391 391 140
392 394 140
393 395 137
394 381 136
395 389 148
396 373 150
397 382 148
398 384 148
399 390 150
400 371 146
401 380 149
402 414 151
403 431 149
404 411 148
405 423 149
406 396 148
407 420 140
408 410 131
409 417 138
410 406 144
411 411 141
412 368 148
413 382 149
414 414 147
415 436 144
416 474 142
